# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 28K of event 'cycles:P'
# Event count (approx.): 14391950198
#
# Overhead  Command        Shared Object               Symbol                               
# ........  .............  ..........................  .....................................
#
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007334d
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000735b7
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000738f5
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073d8f
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007336c
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073285
     0.01%  my_executable  [kernel.vmlinux]            [k] vfs_read
     0.01%  my_executable  [kernel.vmlinux]            [k] reweight_entity
     0.01%  my_executable  [kernel.vmlinux]            [k] native_apic_msr_eoi
     0.01%  my_executable  ld-linux-x86-64.so.2        [.] 0x00000000000097f8
     0.01%  my_executable  libc.so.6                   [.] pthread_mutex_lock
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007329f
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c66
     0.01%  my_executable  [kernel.vmlinux]            [k] down_read_trylock
     0.01%  my_executable  [kernel.vmlinux]            [k] _compound_head
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073f97
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007392d
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073322
     0.01%  my_executable  libc.so.6                   [.] 0x0000000000159fe9
     0.01%  my_executable  [kernel.vmlinux]            [k] __count_memcg_events
     0.01%  my_executable  [kernel.vmlinux]            [k] strcmp
     0.01%  my_executable  libpciaccess.so.0.11.1      [.] 0x00000000000028f3
     0.01%  my_executable  [kernel.vmlinux]            [k] copy_mc_enhanced_fast_string
     0.01%  my_executable  [kernel.vmlinux]            [k] do_syscall_64
     0.01%  my_executable  [kernel.vmlinux]            [k] irq_enter_rcu
     0.01%  my_executable  ld-linux-x86-64.so.2        [.] 0x000000000000e570
     0.01%  my_executable  [kernel.vmlinux]            [k] mas_walk
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000735c4
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007373c
