# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2M of event 'cycles:P'
# Event count (approx.): 1478128950019
#
# Overhead  Command        Shared Object                   Symbol                                        
# ........  .............  ..............................  ..............................................
#
     0.03%  my_executable  libm.so.6                       [.] 0x0000000000073bbd
     0.03%  my_executable  libm.so.6                       [.] 0x0000000000073dd3
     0.03%  my_executable  libm.so.6                       [.] 0x00000000000730cf
     0.03%  my_executable  libm.so.6                       [.] 0x00000000000732bb
     0.03%  my_executable  libm.so.6                       [.] 0x0000000000073bc6
     0.03%  my_executable  libm.so.6                       [.] 0x00000000000730a6
     0.03%  my_executable  libm.so.6                       [.] 0x0000000000073218
     0.03%  my_executable  libm.so.6                       [.] 0x0000000000073bf3
     0.03%  my_executable  libm.so.6                       [.] 0x00000000000738f6
     0.03%  my_executable  libm.so.6                       [.] 0x00000000000730ee
     0.03%  my_executable  libm.so.6                       [.] 0x00000000000735fc
     0.03%  my_executable  libm.so.6                       [.] 0x000000000007338f
     0.02%  my_executable  libm.so.6                       [.] 0x000000000007325e
     0.02%  my_executable  libm.so.6                       [.] 0x0000000000073bd2
     0.02%  my_executable  libm.so.6                       [.] 0x0000000000073bb1
     0.02%  my_executable  libm.so.6                       [.] 0x00000000000730ba
     0.02%  my_executable  libm.so.6                       [.] 0x0000000000073ca2
     0.02%  my_executable  libm.so.6                       [.] 0x0000000000073d8f
     0.02%  my_executable  libm.so.6                       [.] 0x0000000000073ba8
     0.02%  my_executable  libm.so.6                       [.] 0x000000000007357d
     0.02%  my_executable  libm.so.6                       [.] 0x0000000000073296
     0.02%  my_executable  libm.so.6                       [.] 0x0000000000073df7
     0.02%  my_executable  libm.so.6                       [.] 0x00000000000735e3
     0.02%  my_executable  libm.so.6                       [.] 0x0000000000073c76
     0.02%  my_executable  libm.so.6                       [.] 0x0000000000073db4
     0.01%  my_executable  libm.so.6                       [.] 0x00000000000732f9
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073d74
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073285
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073c54
     0.01%  my_executable  libm.so.6                       [.] 0x00000000000732c8
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073903
     0.01%  my_executable  libm.so.6                       [.] 0x00000000000735b3
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073c83
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073be8
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073c6d
     0.01%  my_executable  libm.so.6                       [.] 0x000000000007336c
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073c72
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073c50
     0.01%  my_executable  libm.so.6                       [.] 0x00000000000738f5
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073340
     0.01%  my_executable  libm.so.6                       [.] 0x00000000000730c6
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073df2
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073dfd
     0.01%  my_executable  libstencil.so                   [.] sin@plt
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073607
     0.01%  my_executable  libm.so.6                       [.] 0x000000000007391b
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073caa
     0.01%  my_executable  libm.so.6                       [.] 0x00000000000730b8
     0.01%  my_executable  libm.so.6                       [.] 0x00000000000735a2
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073cca
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073cd0
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073cd8
     0.01%  my_executable  libm.so.6                       [.] 0x000000000007339e
     0.01%  my_executable  [kernel.vmlinux]                [k] update_load_avg
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073d98
     0.01%  my_executable  libm.so.6                       [.] 0x00000000000730b3
     0.01%  my_executable  libm.so.6                       [.] 0x00000000000735c4
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073da7
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073c19
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073d9f
     0.01%  my_executable  libm.so.6                       [.] 0x0000000000073327
     0.01%  my_executable  libm.so.6                       [.] 0x000000000007360d
     0.01%  my_executable  libm.so.6                       [.] 0x000000000007334d
