# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 22K of event 'cycles:P'
# Event count (approx.): 14907655679
#
# Overhead  Command        Shared Object           Symbol                                                                                     
# ........  .............  ......................  ...........................................................................................
#
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073ba8
     0.04%  my_executable  [kernel.vmlinux]        [k] copy_page
     0.04%  my_executable  libz.so.1.3.1           [.] gzgets
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073d65
     0.04%  my_executable  libstencil.so           [.] mesh_set_cell_kind@plt
     0.04%  my_executable  [kernel.vmlinux]        [k] __rmqueue_pcplist
     0.04%  my_executable  libm.so.6               [.] 0x00000000000730ba
     0.03%  my_executable  [kernel.vmlinux]        [k] syscall_return_via_sysret
     0.03%  my_executable  libm.so.6               [.] 0x00000000000730a6
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073218
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073ca2
     0.03%  my_executable  libm.so.6               [.] 0x00000000000735e3
     0.03%  my_executable  [kernel.vmlinux]        [k] prep_compound_page
     0.03%  my_executable  [kernel.vmlinux]        [k] native_irq_return_iret
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073122
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073d74
     0.03%  my_executable  [kernel.vmlinux]        [k] vsnprintf
     0.03%  my_executable  [kernel.vmlinux]        [k] error_entry
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073bd2
     0.03%  my_executable  libm.so.6               [.] 0x00000000000730aa
     0.03%  my_executable  [kernel.vmlinux]        [k] update_load_avg
     0.03%  my_executable  libm.so.6               [.] 0x00000000000730cf
     0.02%  my_executable  libm.so.6               [.] 0x00000000000730b8
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073bf3
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073c54
     0.02%  my_executable  libhwloc.so.15.7.0      [.] 0x0000000000037537
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073bbd
     0.02%  my_executable  libm.so.6               [.] 0x00000000000738f5
     0.02%  my_executable  [kernel.vmlinux]        [k] update_cfs_group
     0.02%  my_executable  libm.so.6               [.] 0x000000000007325e
     0.02%  my_executable  [kernel.vmlinux]        [k] next_uptodate_folio
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073c23
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073bc6
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073dfd
     0.02%  my_executable  libm.so.6               [.] 0x00000000000735b3
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073caa
     0.02%  my_executable  [kernel.vmlinux]        [k] native_sched_clock
     0.02%  my_executable  libstencil.so           [.] idx
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073d8f
     0.02%  my_executable  [kernel.vmlinux]        [k] native_write_msr
     0.02%  my_executable  libm.so.6               [.] 0x00000000000732bb
     0.02%  my_executable  libm.so.6               [.] 0x000000000007338f
     0.02%  my_executable  [kernel.vmlinux]        [k] try_charge_memcg
     0.02%  my_executable  [kernel.vmlinux]        [k] __rcu_read_unlock
     0.02%  my_executable  [kernel.vmlinux]        [k] __d_lookup
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073da3
     0.02%  my_executable  [kernel.vmlinux]        [k] generic_permission
     0.02%  my_executable  libm.so.6               [.] 0x00000000000730ee
     0.02%  my_executable  [kernel.vmlinux]        [k] effective_cpu_util
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073910
     0.02%  my_executable  libm.so.6               [.] 0x00000000000738f6
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073d9f
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073df7
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073903
     0.02%  my_executable  [kernel.vmlinux]        [k] kmem_cache_alloc
     0.02%  my_executable  libm.so.6               [.] 0x000000000007336c
     0.02%  my_executable  libm.so.6               [.] 0x000000000007357d
     0.02%  my_executable  [kernel.vmlinux]        [k] free_tail_page_prepare
     0.02%  my_executable  libm.so.6               [.] 0x00000000000730b3
     0.02%  my_executable  [kernel.vmlinux]        [k] up_read
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c72
     0.01%  my_executable  [kernel.vmlinux]        [k] __handle_mm_fault
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073db4
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073cd0
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073d58
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c6d
     0.01%  my_executable  libm.so.6               [.] 0x000000000007373c
     0.01%  my_executable  libm.so.6               [.] 0x00000000000735fc
