# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 335K of event 'cycles:P'
# Event count (approx.): 194374310278
#
# Overhead  Command        Shared Object           Symbol                                    
# ........  .............  ......................  ..........................................
#
     0.07%  my_executable  libm.so.6               [.] 0x000000000007339e
     0.07%  my_executable  libm.so.6               [.] 0x0000000000073607
     0.07%  my_executable  libm.so.6               [.] 0x0000000000073d9f
     0.07%  my_executable  libm.so.6               [.] 0x00000000000735a2
     0.06%  my_executable  [kernel.vmlinux]        [k] mt_find
     0.06%  my_executable  libm.so.6               [.] 0x0000000000073f74
     0.06%  my_executable  libm.so.6               [.] 0x00000000000735c4
     0.06%  my_executable  [kernel.vmlinux]        [k] follow_page_mask
     0.06%  my_executable  libm.so.6               [.] 0x0000000000073d58
     0.06%  my_executable  libm.so.6               [.] 0x000000000007360d
     0.05%  my_executable  libm.so.6               [.] 0x0000000000073ca6
     0.05%  my_executable  libm.so.6               [.] 0x000000000007329f
     0.05%  my_executable  libm.so.6               [.] 0x0000000000073c19
     0.05%  my_executable  libm.so.6               [.] 0x0000000000073b83
     0.05%  my_executable  libm.so.6               [.] 0x000000000007329b
     0.05%  my_executable  libm.so.6               [.] 0x0000000000073602
     0.05%  my_executable  libm.so.6               [.] 0x000000000007334d
     0.05%  my_executable  libm.so.6               [.] 0x0000000000073918
     0.05%  my_executable  [kernel.vmlinux]        [k] dump_user_range
     0.05%  my_executable  libm.so.6               [.] 0x00000000000730a5
     0.05%  my_executable  libm.so.6               [.] 0x000000000007327c
     0.05%  my_executable  libm.so.6               [.] 0x0000000000073c2f
     0.05%  my_executable  libm.so.6               [.] 0x0000000000073327
     0.05%  my_executable  libm.so.6               [.] 0x0000000000073394
     0.05%  my_executable  libm.so.6               [.] 0x0000000000073584
     0.05%  my_executable  [kernel.vmlinux]        [k] __get_user_pages
     0.05%  my_executable  libm.so.6               [.] 0x0000000000073ce5
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073d86
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073bc6
     0.04%  my_executable  libm.so.6               [.] 0x00000000000735af
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073374
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073d9c
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073322
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073d54
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073d95
