# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles:P'
# Event count (approx.): 6809543337
#
# Overhead  Command        Shared Object           Symbol                                      
# ........  .............  ......................  ............................................
#
     0.05%  my_executable  libm.so.6               [.] 0x0000000000073d74
     0.05%  my_executable  [kernel.vmlinux]        [k] __get_user_pages
     0.05%  my_executable  libm.so.6               [.] 0x00000000000732bb
     0.05%  my_executable  libm.so.6               [.] 0x00000000000730ee
     0.05%  my_executable  libm.so.6               [.] 0x0000000000073d8f
     0.05%  my_executable  libucs.so.0.0.0         [.] _bfd_elf_find_function
     0.05%  my_executable  libm.so.6               [.] 0x0000000000073c72
     0.05%  my_executable  [kernel.vmlinux]        [k] entry_SYSRETQ_unsafe_stack
     0.05%  my_executable  libm.so.6               [.] 0x0000000000073c50
     0.05%  my_executable  libm.so.6               [.] 0x0000000000073b83
     0.05%  my_executable  libm.so.6               [.] 0x00000000000735fc
     0.05%  my_executable  libm.so.6               [.] 0x0000000000073caa
     0.05%  my_executable  libm.so.6               [.] 0x0000000000073903
     0.05%  my_executable  [kernel.vmlinux]        [k] __irqentry_text_end
     0.05%  my_executable  [kernel.vmlinux]        [k] error_entry
     0.05%  my_executable  [kernel.vmlinux]        [k] _raw_spin_lock
     0.05%  my_executable  [kernel.vmlinux]        [k] __update_load_avg_cfs_rq
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073bf3
     0.04%  my_executable  [kernel.vmlinux]        [k] __memcg_kmem_charge_page
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073285
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073607
     0.04%  my_executable  [kernel.vmlinux]        [k] inode_needs_update_time
     0.04%  my_executable  [kernel.vmlinux]        [k] __pte_offset_map_lock
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073c54
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073c66
     0.04%  my_executable  [kernel.vmlinux]        [k] __pte_offset_map
     0.04%  my_executable  libm.so.6               [.] 0x00000000000730c6
     0.04%  my_executable  [kernel.vmlinux]        [k] rwsem_down_write_slowpath
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073df7
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073918
     0.04%  my_executable  [kernel.vmlinux]        [k] strcmp
     0.04%  my_executable  libstencil.so           [.] sin@plt
     0.04%  my_executable  [kernel.vmlinux]        [k] __handle_mm_fault
     0.04%  my_executable  libucs.so.0.0.0         [.] 0x00000000000860f7
     0.04%  my_executable  [kernel.vmlinux]        [k] __x86_indirect_thunk_array
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073d98
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073bd2
     0.04%  my_executable  [kernel.vmlinux]        [k] update_cfs_group
     0.04%  my_executable  [kernel.vmlinux]        [k] step_into
     0.04%  my_executable  [kernel.vmlinux]        [k] unmap_page_range
     0.04%  my_executable  libm.so.6               [.] 0x00000000000730ba
     0.04%  my_executable  [kernel.vmlinux]        [k] do_syscall_64
     0.04%  my_executable  [kernel.vmlinux]        [k] up_write
     0.04%  my_executable  libc.so.6               [.] 0x0000000000099933
     0.04%  my_executable  [kernel.vmlinux]        [k] get_dump_page
     0.04%  my_executable  [kernel.vmlinux]        [k] try_grab_page
     0.04%  my_executable  [kernel.vmlinux]        [k] __wake_up_sync_key
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073584
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073df2
     0.04%  my_executable  [kernel.vmlinux]        [k] check_vma_flags
     0.04%  my_executable  [kernel.vmlinux]        [k] syscall_exit_to_user_mode
     0.03%  my_executable  libucs.so.0.0.0         [.] bfd_elf_string_from_elf_section
     0.03%  my_executable  [kernel.vmlinux]        [k] next_uptodate_folio
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073394
     0.03%  my_executable  libucs.so.0.0.0         [.] bfd_elf64_swap_symbol_in
     0.03%  my_executable  [kernel.vmlinux]        [k] llist_add_batch
     0.03%  my_executable  libm.so.6               [.] 0x00000000000735e3
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073cca
     0.03%  my_executable  [kernel.vmlinux]        [k] __update_load_avg_se
     0.03%  my_executable  [kernel.vmlinux]        [k] update_load_avg
     0.03%  my_executable  libm.so.6               [.] 0x00000000000730a5
     0.03%  my_executable  [kernel.vmlinux]        [k] format_decode
     0.03%  my_executable  [kernel.vmlinux]        [k] __mod_lruvec_state
     0.03%  my_executable  [kernel.vmlinux]        [k] __count_memcg_events
     0.03%  my_executable  [kernel.vmlinux]        [k] __d_lookup
     0.03%  my_executable  [kernel.vmlinux]        [k] __free_one_page
     0.03%  my_executable  [kernel.vmlinux]        [k] update_curr
     0.03%  my_executable  [kernel.vmlinux]        [k] _find_next_and_bit
     0.03%  my_executable  libpciaccess.so.0.11.1  [.] 0x0000000000002765
     0.03%  my_executable  [kernel.vmlinux]        [k] kmem_cache_alloc
     0.03%  my_executable  libucs.so.0.0.0         [.] 0x00000000000df59a
     0.03%  my_executable  libucs.so.0.0.0         [.] 0x00000000000df5e3
     0.03%  my_executable  [kernel.vmlinux]        [k] kernfs_dop_revalidate
     0.03%  my_executable  [kernel.vmlinux]        [k] try_charge_memcg
     0.03%  my_executable  libucs.so.0.0.0         [.] _bfd_elf_make_section_from_shdr
     0.03%  my_executable  [kernel.vmlinux]        [k] copy_page_from_iter
     0.03%  my_executable  [kernel.vmlinux]        [k] generic_permission
     0.03%  my_executable  libucs.so.0.0.0         [.] bfd_elf_get_elf_syms
     0.03%  my_executable  libm.so.6               [.] 0x00000000000738f0
     0.03%  my_executable  [kernel.vmlinux]        [k] ktime_get_coarse_real_ts64
     0.03%  my_executable  [kernel.vmlinux]        [k] osq_unlock
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073910
     0.03%  my_executable  libucs.so.0.0.0         [.] _bfd_elf_maybe_function_sym
     0.03%  my_executable  [kernel.vmlinux]        [k] cgroup_rstat_updated
     0.03%  my_executable  [kernel.vmlinux]        [k] ktime_get
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073d58
     0.03%  my_executable  [kernel.vmlinux]        [k] follow_page_pte
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073db4
